Rk,Player,Twitter
1,Kareem Abdul-Jabbar,kaj33
2,Alex Abrines,alexabrines
3,Quincy Acy,QuincyAcy
4,Jaylen Adams,10jadams
5,Jordan Adams,jordanadams1231
6,Steven Adams,RealStevenAdams
7,Bam Adebayo,Bam1of1
8,Jeff Adrien,Adrien4
9,Maurice Ager,moeager
10,Alexis Ajinca,AjincaAlexis42
11,Furkan Aldemir,furkanaldemir19
12,Cole Aldrich,colea45
13,LaMarcus Aldridge,aldridge_12
14,Cliff Alexander,CAlexander
15,Bryce Alford,balford20
16,Rawle Alkins,Iam_RawleAlkins
17,Grayson Allen,GraysonJAllen
18,Jarrett Allen,JarrettAllen55
19,Malik Allen,THEleekAllen30
20,Ray Allen,greenRAYn20
21,Tony Allen,aa000G9
22,Morris Almond,FreeMoAlmond
23,John Amaechi,JohnAmaechi
24,Al-Farouq Aminu,farouq1
25,Lou Amundson,LouAmundson17
26,Alan Anderson,ASqared06
27,C.J. Anderson,cjanderson_23
28,Justin Anderson,JusAnderson1
29,Kenny Anderson,chibbs_1
30,Kyle Anderson,KyleAnderson5
31,Braian Angola-Rodas,Angola2411
32,Ike Anigbogu,IkePostrs_
33,Giannis Antetokounmpo,Giannis_An34
34,Kostas Antetokounmpo,Kostas_ante13
35,Carmelo Anthony,carmeloanthony
36,Greg Anthony,GregAnthony50
37,OG Anunoby,OAnunoby
38,Robert Archibald,RobertArchibald
39,Ryan Arcidiacono,RyArch15
40,Gilbert Arenas,agentzeroshow
41,Trevor Ariza,TrevorAriza
42,Darrell Arthur,DarrellArthur00
43,Jamel Artis,melartis1
44,Brandon Ashley,_Bash21
45,Omer Asik,AsikOmer
46,Gustavo Ayon,Gustavo_Ayon15
47,Deandre Ayton,DeandreAyton
48,Kelenna Azubuike,KAzubuike7
49,Luke Babbitt,Realbabbitt08
50,Jordan Bachynski,BLOCKchynski
51,Dwayne Bacon,BaconDwayne1000
52,Marvin Bagley,MB3FIVE
53,Ron Baker,RonBaker31
54,Wade Baldwin,The_Fourth_Wade
55,Renaldo Balkman,R_Balkman32
56,Lonzo Ball,ZO2_
57,Leandro Barbosa,TheBlurBarbosa
58,J.J. Barea,jjbareapr
59,Andrea Bargnani,AndreaBargnani
60,Harrison Barnes,HBarnes
61,Matt Barnes,Matt_Barnes22
62,Jordan Barnett,JBounce33
63,Earl Barron,earldee
64,Brent Barry,Barryathree
65,Canyon Barry,cbarry719
66,Will Barton,WillTheThrillB5
67,Keita Bates-Diop,KDB_33
68,Shane Battier,ShaneBattier
69,Nicolas Batum,nicolas88batum
70,Jerryd Bayless,jerrydbayless
71,Aron Baynes,aronbaynes
72,Kent Bazemore,24Bazemore
73,V.J. Beachem,VjBeachem
74,Bradley Beal,RealDealBeal23
75,Malik Beasley,Mbeasy5
76,Michael Beasley,easyst0
77,Beau Beech,beaubeech02
78,Marco Belinelli,marcobelinelli
79,Charlie Bell,flintstone14
80,Jordan Bell,1jordanbell
81,Troy Bell,TroyBellS2P
82,DeAndre' Bembry,fearthefro95
83,Dragan Bender,DBender03
84,Jonathan Bender,jonathanbender9
85,Anthony Bennett,AnthonyBennett
86,Keith Benson,RealKITO
87,Joel Berry,JoelBerryII
88,Davis Bertans,DBertans_42
89,Patrick Beverley,patbev21
90,Justin Bibbs,JustinBibbs10
91,Chauncey Billups,1MrBigShot
92,Khem Birch,Khem_Birch
93,Jabari Bird,Jabari_Bird
94,Bismack Biyombo,bismackbiyombo
95,Nemanja Bjelica,NemanjaBjelica
96,Tarik Black,TarikBlack25
97,James Blackmon,jblackmon2
98,DeJuan Blair,DeJuan45
99,Steve Blake,SteveBlake5
100,Antonio Blakeney,blakeney96
101,Andray Blatche,drayblatche
102,Eric Bledsoe,EBled2
103,Jaron Blossomgame,JaronBgame
104,Vander Blue,veezy_SQ
105,Trevon Bluiett,TrevonBluiett
106,Ryan Boatright,Ryanboatright11
107,Bogdan Bogdanovic,LeaderOfHorde
108,Bojan Bogdanovic,44Bojan
109,Muggsy Bogues,MuggsyBogues
110,Andrew Bogut,andrewbogut
111,Jonah Bolden,Jonahbolden43
112,Isaac Bonga,isaacbonga
113,Matt Bonner,MattBonner_SAS
114,Devin Booker,DevinBook
115,Trevor Booker,35_Fitz
116,Carlos Boozer,MisterCbooz
117,Chris Bosh,chrisbosh
118,Dee Bost,1DBost
119,Chris Boucher,chrisboucher
120,Bruce Bowen,Bowen12
121,Ryan Bowen,rybo40
122,Craig Brackins,Cbrackins_33
123,Avery Bradley,Avery0Bradley
124,Tony Bradley,ToBrad1
125,Taylor Braun,taylorbraun2324
126,Corey Brewer,TheCoreyBrewer
127,Ronnie Brewer,RonnieBrewerJr
128,Primoz Brezec,Primozbrezec
129,Mikal Bridges,mikal_bridges
130,Miles Bridges,MilesBridges
131,Amida Brimah,amidabrimah
132,Isaiah Briscoe,ZayBriscoe
133,Jon Brockman,MrJonBrockman
134,Ryan Broekhoff,RBroekhoff45
135,Aaron Brooks,Thirty2zero
136,Dillon Brooks,dillonbrooks24
137,MarShon Brooks,Marshon2
138,Alec Brown,AlecBrown21
139,Anthony Brown,TwoShotOne
140,Bobby Brown,BBROWNLAU
141,Bruce Brown,BruceBrown11
142,Dee Brown,deebrown11
143,Derrick Brown,D_Brown4
144,Jabari Brown,Bari_BrownIDF
145,Jaylen Brown,FCHWPO
146,Lorenzo Brown,Zo_Brown
147,Markel Brown,iMarkelBrown22
148,Troy Brown,Troy_Brown33
149,Jalen Brunson,jalenbrunson1
150,Kobe Bryant,kobebryant
151,Thomas Bryant,nolimittb31
152,Chase Budinger,CBudinger
153,Reggie Bullock,ReggieBullock35
154,Trey Burke,TreyBurke
155,Alec Burks,AlecBurks10
156,Antonio Burks,antonioburks
157,Deonte Burton,DeonteBurton
158,Deonte Burton,DeonteBurton
159,Caron Butler,realtuffjuice
160,Jimmy Butler,JimmyButler
161,Rasual Butler,RasualButler45
162,Dwight Buycks,BuycksWorld13
163,Bruno Caboclo,Bruno_Caboclo
164,Michael Cage,Exhoopsmc
165,Nick Calathes,Nick_Calathes15
166,Jose Calderon,JmCalderon
167,Kentavious Caldwell-Pope,CaldwellPope
168,Marcus Camby,MarcusCamby23
169,Isaiah Canaan,SiP03
170,Clint Capela,CapelaClint
171,Derrick Caracter,RebuildCaracter
172,Brian Cardinal,BrianCardinal
173,Antoine Carr,AntoineCarr55
174,Phillip Carr,PhilippeChow_
175,DeMarre Carroll,DeMarreCarroll1
176,Vince Carter,mrvincecarter15
177,Wendell Carter,wendellcarter34
178,Michael Carter-Williams,MCW1
179,Omri Casspi,Casspi18
180,Willie Cauley-Stein,THEwillieCS15
181,Troy Caupain,caupain10
182,Tyler Cavanaugh,tycav34
183,Cedric Ceballos,cedceballos
184,Mario Chalmers,mchalmers15
185,Tyson Chandler,tysonchandler
186,Wilson Chandler,wilsonchandler
187,Joe Chealey,joe_chealey
188,Josh Childress,JChillin
189,Chris Chiozza,Chiozza11
190,Marquese Chriss,quese
191,Dionte Christmas,Dchristmas22
192,Rakeem Christmas,R_Xmas25
193,Semaj Christon,SemajChriston
194,Keith Clanton,Im_Keithclanton
195,Gary Clark,Gary11_Clark
196,Ian Clark,IanClark
197,Jordan Clarkson,JordanClarksons
198,Gian Clavell,clavelito04
199,Victor Claver,Victor_Claver
200,Speedy Claxton,speeddeamon
201,Mateen Cleaves,Mateen_Cleaves
202,Antonius Cleveland,ac_uno1
203,Jeff Coby,JC40A3
204,Derrick Coleman,44TheLegend
205,Jarron Collins,jarronctwin
206,John Collins,jcollins20_
207,Sherron Collins,SHERRONCOLLINS4
208,Zach Collins,zcollins_33
209,Kyle Collinsworth,bigrussia5
210,Darren Collison,Darren_Collison
211,Nick Collison,nickcollison4
212,Bonzie Colson,Bacolson35
213,Mike Conley,mconley11
214,Pat Connaughton,PlanetPat5
215,Will Conroy,CHILLCONROY
216,Daequan Cook,DC4Three
217,Quinn Cook,QCook323
218,Charles Cooke,c4_cooke
219,Jack Cooley,JackCooligan45
220,Michael Cooper,ShowtimeCooper
221,Isaia Cordinier,izaycordinier
222,DeMarcus Cousins,boogiecousins
223,Robert Covington,Holla_At_Rob33
224,Allen Crabbe,allencrabbe
225,Aaron Craft,ACraft4
226,Torrey Craig,TCraig_23
227,Chris Crawford,clutchcrawford3
228,Drew Crawford,TheRealDrewski1
229,Jamal Crawford,JCrossover
230,Joe Crawford,JoeCrawford5
231,Jordan Crawford,jcraw55
232,Austin Croshere,AustinCroshere
233,Jae Crowder,CJC9BOSS
234,Dante Cunningham,DlamarC33
235,Jared Cunningham,J1Flight
236,Eddy Curry,Eddy_Curry
237,Seth Curry,sdotcurry
238,Stephen Curry,StephenCurry30
239,Nemanja Dangubic,DangubicNemanja
240,DeAndre Daniels,D_Daniels2
241,Marquis Daniels,Marquis_Daniels
242,Troy Daniels,troydaniels
243,Luigi Datome,GigiDatome
244,Anthony Davis,AntDavis23
245,Baron Davis,BaronDavis
246,Deyonta Davis,deyontadavis23
247,Ed Davis,eddavisXVII
248,Glen Davis,iambigbaby11
249,Andre Dawkins,dre_dawkins
250,Austin Daye,Adaye5
251,Dewayne Dedmon,d_dedmon3
252,Sam Dekker,dekker
253,Vinny Del Negro,VinnyDHoops
254,Malcolm Delaney,foe23
255,Carlos Delfino,cabezadelfino
256,Angel Delgado,AngelDelgado
257,Matthew Dellavedova,matthewdelly
258,Luol Deng,LuolDeng9
259,Marcus Denmon,MizzouMonster12
260,Stephen Dennis,SDennis14
261,Demetrius Denzel-Dyson,MRDYSON1022
262,DeMar DeRozan,DeMar_DeRozan
263,Cheick Diallo,cheick_diallo13
264,Hamidou Diallo,hamidoudiallo
265,Boris Diaw,theborisdiaw
266,Gorgui Dieng,GorguiDieng
267,Dani Diez de la Faya,danidiez11
268,Spencer Dinwiddie,SDinwiddie_25
269,DeSagana Diop,sagana7
270,Daniel Dixon,Mr_HeatCheck
271,Luka Doncic,luka7doncic
272,Tyler Dorsey,TDORSEY_1
273,Damyean Dotson,staytuned21
274,Zabian Dowdell,zayrd1
275,Milton Doyle,MDLU35
276,PJ Dozier,Dozier_Kid
277,Goran Dragic,Goran_Dragic
278,Andre Drummond,AndreDrummond
279,Jared Dudley,JaredDudley619
280,Kris Dunn,KrisDunn3
281,Ronald Dupree,RDupree12
282,Kevin Durant,KDTrey5
283,Trevon Duval,DatGuy_Trey
284,Cleanthony Early,Clearly_BallLyf
285,Devin Ebanks,DevinEbanks3
286,Jarell Eddie,JarellEddie
287,Melvin Ejim,MelvinEjim
288,Henry Ellenson,HenryEllenson13
289,Wayne Ellington,WayneElli22
290,Joel Embiid,JoelEmbiid
291,Kim English,Englishscope24
292,James Ennis,JamesDa_Truth
293,Tyler Ennis,TylerEnnis
294,Drew Eubanks,DrewEubanks12
295,Jacob Evans,JacobEvans_1
296,Jawun Evans,j3vans1_
297,Jeremy Evans,JeremyEvans40
298,Keenan Evans,K3vans12
299,Reggie Evans,ReggieEvans30
300,Tyreke Evans,TyrekeEvans
301,Patrick Ewing,pewingjr6
302,Dante Exum,daanteee
303,Christian Eyenga,christeyenga31
304,Festus Ezeli,festus
305,Jarrid Famous,MrFamous_CME
306,Kenneth Faried,KennethFaried35
307,Derrick Favors,dfavors14
308,Carrick Felix,CarrickFelixIMC
309,Carrick Felix,C_Felix0
310,Raymond Felton,RFeltonGBMS
311,Terrance Ferguson,the2kferguson
312,Rudy Fernandez,rudy5fernandez
313,Yogi Ferrell,YogiFerrell11
314,Landry Fields,landryfields
315,Michael Finley,MichaelFinley
316,Dorian Finney-Smith,doefinney_10
317,Derek Fisher,derekfisher
318,Bryn Forbes,BrynjForbes
319,T.J. Ford,tj_ford
320,Evan Fournier,EvanFourmizz
321,De'Aaron Fox,swipathefox
322,Randy Foye,randyfoye
323,Adonal Foyle,afoyle3131
324,Steve Francis,SteveFranchise3
325,Melvin Frazier,melvinjrrr
326,Tim Frazier,Timfraz23
327,Walt Frazier,WaltFrazier
328,Jimmer Fredette,jimmerfredette
329,Channing Frye,Channing_Frye
330,Markelle Fultz,MarkelleF
331,Wenyen Gabriel,WenyenGabriel
332,Dan Gadzuric,DGadzuric
333,Danilo Gallinari,gallinari8888
334,Langston Galloway,LangGalloway10
335,Patricio Garino,patitogarino
336,Diante Garrett,kingarrett10
337,Marc Gasol,MarcGasol
